datetime,volume,day_of_week,is_weekend
2006-10-01 00:15:00,46,6,1
2006-10-01 00:30:00,41,6,1
2006-10-01 00:45:00,42,6,1
2006-10-01 01:00:00,36,6,1
2006-10-01 01:15:00,26,6,1
2006-10-01 01:30:00,26,6,1
2006-10-01 01:45:00,19,6,1
2006-10-01 02:00:00,24,6,1
2006-10-01 02:15:00,21,6,1
2006-10-01 02:30:00,12,6,1
2006-10-01 02:45:00,7,6,1
2006-10-01 03:00:00,14,6,1
2006-10-01 03:15:00,20,6,1
2006-10-01 03:30:00,13,6,1
2006-10-01 03:45:00,11,6,1
2006-10-01 04:00:00,9,6,1
2006-10-01 04:15:00,13,6,1
2006-10-01 04:30:00,6,6,1
2006-10-01 04:45:00,8,6,1
2006-10-01 05:00:00,9,6,1
2006-10-01 05:15:00,9,6,1
2006-10-01 05:30:00,12,6,1
2006-10-01 05:45:00,21,6,1
2006-10-01 06:00:00,13,6,1
2006-10-01 06:15:00,13,6,1
2006-10-01 06:30:00,28,6,1
2006-10-01 06:45:00,32,6,1
2006-10-01 07:00:00,35,6,1
2006-10-01 07:15:00,46,6,1
2006-10-01 07:30:00,49,6,1
2006-10-01 07:45:00,57,6,1
2006-10-01 08:00:00,50,6,1
2006-10-01 08:15:00,49,6,1
2006-10-01 08:30:00,55,6,1
2006-10-01 08:45:00,70,6,1
2006-10-01 09:00:00,100,6,1
2006-10-01 09:15:00,123,6,1
2006-10-01 09:30:00,128,6,1
2006-10-01 09:45:00,164,6,1
2006-10-01 10:00:00,205,6,1
2006-10-01 10:15:00,188,6,1
2006-10-01 10:30:00,181,6,1
2006-10-01 10:45:00,184,6,1
2006-10-01 11:00:00,181,6,1
2006-10-01 11:15:00,187,6,1
2006-10-01 11:30:00,190,6,1
2006-10-01 11:45:00,215,6,1
2006-10-01 12:00:00,205,6,1
2006-10-01 12:15:00,202,6,1
2006-10-01 12:30:00,219,6,1
2006-10-01 12:45:00,213,6,1
2006-10-01 13:00:00,248,6,1
2006-10-01 13:15:00,239,6,1
2006-10-01 13:30:00,189,6,1
2006-10-01 13:45:00,194,6,1
2006-10-01 14:00:00,208,6,1
2006-10-01 14:15:00,226,6,1
2006-10-01 14:30:00,232,6,1
2006-10-01 14:45:00,182,6,1
2006-10-01 15:00:00,158,6,1
2006-10-01 15:15:00,211,6,1
2006-10-01 15:30:00,182,6,1
2006-10-01 15:45:00,177,6,1
2006-10-01 16:00:00,185,6,1
2006-10-01 16:15:00,183,6,1
2006-10-01 16:30:00,187,6,1
2006-10-01 16:45:00,153,6,1
2006-10-01 17:00:00,177,6,1
2006-10-01 17:15:00,192,6,1
2006-10-01 17:30:00,175,6,1
2006-10-01 17:45:00,166,6,1
2006-10-01 18:00:00,155,6,1
2006-10-01 18:15:00,171,6,1
2006-10-01 18:30:00,156,6,1
2006-10-01 18:45:00,101,6,1
2006-10-01 19:00:00,98,6,1
2006-10-01 19:15:00,96,6,1
2006-10-01 19:30:00,83,6,1
2006-10-01 19:45:00,80,6,1
2006-10-01 20:00:00,55,6,1
2006-10-01 20:15:00,78,6,1
2006-10-01 20:30:00,53,6,1
2006-10-01 20:45:00,44,6,1
2006-10-01 21:00:00,59,6,1
2006-10-01 21:15:00,77,6,1
2006-10-01 21:30:00,69,6,1
2006-10-01 21:45:00,59,6,1
2006-10-01 22:00:00,52,6,1
2006-10-01 22:15:00,63,6,1
2006-10-01 22:30:00,37,6,1
2006-10-01 22:45:00,49,6,1
2006-10-01 23:00:00,34,6,1
2006-10-01 23:15:00,37,6,1
2006-10-01 23:30:00,24,6,1
2006-10-01 23:45:00,14,6,1
2006-10-02 00:00:00,13,0,0
2006-10-02 00:15:00,14,0,0
2006-10-02 00:30:00,14,0,0
2006-10-02 00:45:00,6,0,0
2006-10-02 01:00:00,5,0,0
2006-10-02 01:15:00,5,0,0
2006-10-02 01:30:00,8,0,0
2006-10-02 01:45:00,6,0,0
2006-10-02 02:00:00,5,0,0
2006-10-02 02:15:00,5,0,0
2006-10-02 02:30:00,9,0,0
2006-10-02 02:45:00,7,0,0
2006-10-02 03:00:00,2,0,0
2006-10-02 03:15:00,2,0,0
2006-10-02 03:30:00,6,0,0
2006-10-02 03:45:00,2,0,0
2006-10-02 04:00:00,7,0,0
2006-10-02 04:15:00,5,0,0
2006-10-02 04:30:00,9,0,0
2006-10-02 04:45:00,8,0,0
2006-10-02 05:00:00,14,0,0
2006-10-02 05:15:00,15,0,0
2006-10-02 05:30:00,22,0,0
2006-10-02 05:45:00,44,0,0
2006-10-02 06:00:00,34,0,0
2006-10-02 06:15:00,53,0,0
2006-10-02 06:30:00,85,0,0
2006-10-02 06:45:00,138,0,0
2006-10-02 07:00:00,143,0,0
2006-10-02 07:15:00,179,0,0
2006-10-02 07:30:00,297,0,0
2006-10-02 07:45:00,293,0,0
2006-10-02 08:00:00,334,0,0
2006-10-02 08:15:00,275,0,0
2006-10-02 08:30:00,322,0,0
2006-10-02 08:45:00,244,0,0
2006-10-02 09:00:00,317,0,0
2006-10-02 09:15:00,243,0,0
2006-10-02 09:30:00,235,0,0
2006-10-02 09:45:00,236,0,0
2006-10-02 10:00:00,192,0,0
2006-10-02 10:15:00,214,0,0
2006-10-02 10:30:00,183,0,0
2006-10-02 10:45:00,182,0,0
2006-10-02 11:00:00,214,0,0
2006-10-02 11:15:00,184,0,0
2006-10-02 11:30:00,200,0,0
2006-10-02 11:45:00,193,0,0
2006-10-02 12:00:00,200,0,0
2006-10-02 12:15:00,179,0,0
2006-10-02 12:30:00,181,0,0
2006-10-02 12:45:00,156,0,0
2006-10-02 13:00:00,189,0,0
2006-10-02 13:15:00,186,0,0
2006-10-02 13:30:00,194,0,0
2006-10-02 13:45:00,214,0,0
2006-10-02 14:00:00,150,0,0
2006-10-02 14:15:00,199,0,0
2006-10-02 14:30:00,182,0,0
2006-10-02 14:45:00,188,0,0
2006-10-02 15:00:00,183,0,0
2006-10-02 15:15:00,182,0,0
2006-10-02 15:30:00,239,0,0
2006-10-02 15:45:00,231,0,0
2006-10-02 16:00:00,232,0,0
2006-10-02 16:15:00,276,0,0
2006-10-02 16:30:00,240,0,0
2006-10-02 16:45:00,242,0,0
2006-10-02 17:00:00,241,0,0
2006-10-02 17:15:00,222,0,0
2006-10-02 17:30:00,302,0,0
2006-10-02 17:45:00,252,0,0
2006-10-02 18:00:00,297,0,0
2006-10-02 18:15:00,227,0,0
2006-10-02 18:30:00,220,0,0
2006-10-02 18:45:00,179,0,0
2006-10-02 19:00:00,139,0,0
2006-10-02 19:15:00,153,0,0
2006-10-02 19:30:00,128,0,0
2006-10-02 19:45:00,110,0,0
2006-10-02 20:00:00,88,0,0
2006-10-02 20:15:00,92,0,0
2006-10-02 20:30:00,90,0,0
2006-10-02 20:45:00,71,0,0
2006-10-02 21:00:00,69,0,0
2006-10-02 21:15:00,63,0,0
2006-10-02 21:30:00,62,0,0
2006-10-02 21:45:00,68,0,0
2006-10-02 22:00:00,66,0,0
2006-10-02 22:15:00,56,0,0
2006-10-02 22:30:00,66,0,0
2006-10-02 22:45:00,56,0,0
2006-10-02 23:00:00,43,0,0
2006-10-02 23:15:00,45,0,0
2006-10-02 23:30:00,25,0,0
2006-10-02 23:45:00,22,0,0
2006-10-03 00:00:00,17,1,0
2006-10-03 00:15:00,11,1,0
2006-10-03 00:30:00,13,1,0
2006-10-03 00:45:00,11,1,0
2006-10-03 01:00:00,8,1,0
2006-10-03 01:15:00,10,1,0
2006-10-03 01:30:00,4,1,0
2006-10-03 01:45:00,1,1,0
2006-10-03 02:00:00,5,1,0
2006-10-03 02:15:00,5,1,0
2006-10-03 02:30:00,2,1,0
2006-10-03 02:45:00,7,1,0
2006-10-03 03:00:00,5,1,0
2006-10-03 03:15:00,5,1,0
2006-10-03 03:30:00,3,1,0
2006-10-03 03:45:00,5,1,0
2006-10-03 04:00:00,5,1,0
2006-10-03 04:15:00,4,1,0
2006-10-03 04:30:00,5,1,0
2006-10-03 04:45:00,2,1,0
2006-10-03 05:00:00,4,1,0
2006-10-03 05:15:00,13,1,0
2006-10-03 05:30:00,26,1,0
2006-10-03 05:45:00,37,1,0
2006-10-03 06:00:00,58,1,0
2006-10-03 06:15:00,65,1,0
2006-10-03 06:30:00,114,1,0
2006-10-03 06:45:00,160,1,0
2006-10-03 07:00:00,195,1,0
2006-10-03 07:15:00,230,1,0
2006-10-03 07:30:00,231,1,0
2006-10-03 07:45:00,315,1,0
2006-10-03 08:00:00,281,1,0
2006-10-03 08:15:00,300,1,0
2006-10-03 08:30:00,299,1,0
2006-10-03 08:45:00,308,1,0
2006-10-03 09:00:00,291,1,0
2006-10-03 09:15:00,281,1,0
2006-10-03 09:30:00,257,1,0
2006-10-03 09:45:00,260,1,0
2006-10-03 10:00:00,240,1,0
2006-10-03 10:15:00,222,1,0
2006-10-03 10:30:00,202,1,0
2006-10-03 10:45:00,210,1,0
2006-10-03 11:00:00,212,1,0
2006-10-03 11:15:00,201,1,0
2006-10-03 11:30:00,186,1,0
2006-10-03 11:45:00,205,1,0
2006-10-03 12:00:00,206,1,0
2006-10-03 12:15:00,200,1,0
2006-10-03 12:30:00,212,1,0
2006-10-03 12:45:00,189,1,0
2006-10-03 13:00:00,186,1,0
2006-10-03 13:15:00,167,1,0
2006-10-03 13:30:00,197,1,0
2006-10-03 13:45:00,219,1,0
2006-10-03 14:00:00,191,1,0
2006-10-03 14:15:00,162,1,0
2006-10-03 14:30:00,290,1,0
2006-10-03 14:45:00,199,1,0
2006-10-03 15:00:00,192,1,0
2006-10-03 15:15:00,224,1,0
2006-10-03 15:30:00,216,1,0
2006-10-03 15:45:00,255,1,0
2006-10-03 16:00:00,253,1,0
2006-10-03 16:15:00,262,1,0
2006-10-03 16:30:00,257,1,0
2006-10-03 16:45:00,294,1,0
2006-10-03 17:00:00,242,1,0
2006-10-03 17:15:00,261,1,0
2006-10-03 17:30:00,231,1,0
2006-10-03 17:45:00,317,1,0
2006-10-03 18:00:00,263,1,0
2006-10-03 18:15:00,284,1,0
2006-10-03 18:30:00,240,1,0
2006-10-03 18:45:00,219,1,0
2006-10-03 19:00:00,162,1,0
2006-10-03 19:15:00,153,1,0
2006-10-03 19:30:00,155,1,0
2006-10-03 19:45:00,123,1,0
2006-10-03 20:00:00,113,1,0
2006-10-03 20:15:00,96,1,0
2006-10-03 20:30:00,88,1,0
2006-10-03 20:45:00,94,1,0
2006-10-03 21:00:00,72,1,0
2006-10-03 21:15:00,91,1,0
2006-10-03 21:30:00,94,1,0
2006-10-03 21:45:00,88,1,0
2006-10-03 22:00:00,82,1,0
2006-10-03 22:15:00,74,1,0
2006-10-03 22:30:00,62,1,0
2006-10-03 22:45:00,54,1,0
2006-10-03 23:00:00,48,1,0
2006-10-03 23:15:00,52,1,0
2006-10-03 23:30:00,28,1,0
2006-10-03 23:45:00,19,1,0
2006-10-04 00:00:00,21,2,0
2006-10-04 00:15:00,16,2,0
2006-10-04 00:30:00,11,2,0
2006-10-04 00:45:00,10,2,0
2006-10-04 01:00:00,7,2,0
2006-10-04 01:15:00,7,2,0
2006-10-04 01:30:00,6,2,0
2006-10-04 01:45:00,4,2,0
2006-10-04 02:00:00,4,2,0
2006-10-04 02:15:00,1,2,0
2006-10-04 02:30:00,6,2,0
2006-10-04 02:45:00,6,2,0
2006-10-04 03:00:00,6,2,0
2006-10-04 03:15:00,5,2,0
2006-10-04 03:30:00,2,2,0
2006-10-04 03:45:00,6,2,0
2006-10-04 04:00:00,4,2,0
2006-10-04 04:15:00,3,2,0
2006-10-04 04:30:00,7,2,0
2006-10-04 04:45:00,5,2,0
2006-10-04 05:00:00,7,2,0
2006-10-04 05:15:00,14,2,0
2006-10-04 05:30:00,17,2,0
2006-10-04 05:45:00,41,2,0
2006-10-04 06:00:00,47,2,0
2006-10-04 06:15:00,58,2,0
2006-10-04 06:30:00,118,2,0
2006-10-04 06:45:00,142,2,0
2006-10-04 07:00:00,182,2,0
2006-10-04 07:15:00,169,2,0
2006-10-04 07:30:00,281,2,0
2006-10-04 07:45:00,261,2,0
2006-10-04 08:00:00,317,2,0
2006-10-04 08:15:00,271,2,0
2006-10-04 08:30:00,305,2,0
2006-10-04 08:45:00,270,2,0
2006-10-04 09:00:00,323,2,0
2006-10-04 09:15:00,263,2,0
2006-10-04 09:30:00,237,2,0
2006-10-04 09:45:00,246,2,0
2006-10-04 10:00:00,239,2,0
2006-10-04 10:15:00,197,2,0
2006-10-04 10:30:00,197,2,0
2006-10-04 10:45:00,231,2,0
2006-10-04 11:00:00,212,2,0
2006-10-04 11:15:00,193,2,0
2006-10-04 11:30:00,211,2,0
2006-10-04 11:45:00,227,2,0
2006-10-04 12:00:00,194,2,0
2006-10-04 12:15:00,208,2,0
2006-10-04 12:30:00,249,2,0
2006-10-04 12:45:00,197,2,0
2006-10-04 13:00:00,201,2,0
2006-10-04 13:15:00,208,2,0
2006-10-04 13:30:00,202,2,0
2006-10-04 13:45:00,246,2,0
2006-10-04 14:00:00,224,2,0
2006-10-04 14:15:00,239,2,0
2006-10-04 14:30:00,206,2,0
2006-10-04 14:45:00,221,2,0
2006-10-04 15:00:00,197,2,0
2006-10-04 15:15:00,249,2,0
2006-10-04 15:30:00,274,2,0
2006-10-04 15:45:00,262,2,0
2006-10-04 16:00:00,260,2,0
2006-10-04 16:15:00,257,2,0
2006-10-04 16:30:00,263,2,0
2006-10-04 16:45:00,274,2,0
2006-10-04 17:00:00,233,2,0
2006-10-04 17:15:00,229,2,0
2006-10-04 17:30:00,277,2,0
2006-10-04 17:45:00,296,2,0
2006-10-04 18:00:00,272,2,0
2006-10-04 18:15:00,259,2,0
2006-10-04 18:30:00,240,2,0
2006-10-04 18:45:00,187,2,0
2006-10-04 19:00:00,162,2,0
2006-10-04 19:15:00,167,2,0
2006-10-04 19:30:00,149,2,0
2006-10-04 19:45:00,120,2,0
2006-10-04 20:00:00,117,2,0
2006-10-04 20:15:00,106,2,0
2006-10-04 20:30:00,73,2,0
2006-10-04 20:45:00,78,2,0
2006-10-04 21:00:00,69,2,0
2006-10-04 21:15:00,81,2,0
2006-10-04 21:30:00,94,2,0
2006-10-04 21:45:00,80,2,0
