datetime,volume,day_of_week,is_weekend
2006-10-02 00:15:00,15,0,0
2006-10-02 00:30:00,25,0,0
2006-10-02 00:45:00,20,0,0
2006-10-02 01:00:00,39,0,0
2006-10-02 01:15:00,22,0,0
2006-10-02 01:30:00,12,0,0
2006-10-02 01:45:00,7,0,0
2006-10-02 02:00:00,15,0,0
2006-10-02 02:15:00,5,0,0
2006-10-02 02:30:00,27,0,0
2006-10-02 02:45:00,17,0,0
2006-10-02 03:00:00,8,0,0
2006-10-02 03:15:00,8,0,0
2006-10-02 03:30:00,14,0,0
2006-10-02 03:45:00,4,0,0
2006-10-02 04:00:00,23,0,0
2006-10-02 04:15:00,4,0,0
2006-10-02 04:30:00,4,0,0
2006-10-02 04:45:00,32,0,0
2006-10-02 05:00:00,12,0,0
2006-10-02 05:15:00,6,0,0
2006-10-02 05:30:00,11,0,0
2006-10-02 05:45:00,18,0,0
2006-10-02 06:00:00,28,0,0
2006-10-02 06:15:00,20,0,0
2006-10-02 06:30:00,42,0,0
2006-10-02 06:45:00,66,0,0
2006-10-02 07:00:00,49,0,0
2006-10-02 07:15:00,52,0,0
2006-10-02 07:30:00,89,0,0
2006-10-02 07:45:00,68,0,0
2006-10-02 08:00:00,95,0,0
2006-10-02 08:15:00,106,0,0
2006-10-02 08:30:00,110,0,0
2006-10-02 08:45:00,93,0,0
2006-10-02 09:00:00,88,0,0
2006-10-02 09:15:00,98,0,0
2006-10-02 09:30:00,84,0,0
2006-10-02 09:45:00,102,0,0
2006-10-02 10:00:00,110,0,0
2006-10-02 10:15:00,66,0,0
2006-10-02 10:30:00,93,0,0
2006-10-02 10:45:00,69,0,0
2006-10-02 11:00:00,45,0,0
2006-10-02 11:15:00,94,0,0
2006-10-02 11:30:00,83,0,0
2006-10-02 11:45:00,71,0,0
2006-10-02 12:00:00,85,0,0
2006-10-02 12:15:00,94,0,0
2006-10-02 12:30:00,92,0,0
2006-10-02 12:45:00,84,0,0
2006-10-02 13:00:00,112,0,0
2006-10-02 13:15:00,79,0,0
2006-10-02 13:30:00,81,0,0
2006-10-02 13:45:00,72,0,0
2006-10-02 14:00:00,121,0,0
2006-10-02 14:15:00,88,0,0
2006-10-02 14:30:00,81,0,0
2006-10-02 14:45:00,80,0,0
2006-10-02 15:00:00,94,0,0
2006-10-02 15:15:00,99,0,0
2006-10-02 15:30:00,125,0,0
2006-10-02 15:45:00,121,0,0
2006-10-02 16:00:00,149,0,0
2006-10-02 16:15:00,118,0,0
2006-10-02 16:30:00,117,0,0
2006-10-02 16:45:00,152,0,0
2006-10-02 17:00:00,126,0,0
2006-10-02 17:15:00,149,0,0
2006-10-02 17:30:00,160,0,0
2006-10-02 17:45:00,150,0,0
2006-10-02 18:00:00,146,0,0
2006-10-02 18:15:00,151,0,0
2006-10-02 18:30:00,154,0,0
2006-10-02 18:45:00,141,0,0
2006-10-02 19:00:00,106,0,0
2006-10-02 19:15:00,135,0,0
2006-10-02 19:30:00,100,0,0
2006-10-02 19:45:00,108,0,0
2006-10-02 20:00:00,65,0,0
2006-10-02 20:15:00,74,0,0
2006-10-02 20:30:00,64,0,0
2006-10-02 20:45:00,88,0,0
2006-10-02 21:00:00,59,0,0
2006-10-02 21:15:00,53,0,0
2006-10-02 21:30:00,81,0,0
2006-10-02 21:45:00,96,0,0
2006-10-02 22:00:00,60,0,0
2006-10-02 22:15:00,67,0,0
2006-10-02 22:30:00,72,0,0
2006-10-02 22:45:00,56,0,0
2006-10-02 23:00:00,81,0,0
2006-10-02 23:15:00,71,0,0
2006-10-02 23:30:00,28,0,0
2006-10-02 23:45:00,44,0,0
2006-10-03 00:00:00,33,1,0
2006-10-03 00:15:00,23,1,0
2006-10-03 00:30:00,14,1,0
2006-10-03 00:45:00,33,1,0
2006-10-03 01:00:00,23,1,0
2006-10-03 01:15:00,8,1,0
2006-10-03 01:30:00,15,1,0
2006-10-03 01:45:00,13,1,0
2006-10-03 02:00:00,5,1,0
2006-10-03 02:15:00,7,1,0
2006-10-03 02:30:00,7,1,0
2006-10-03 02:45:00,31,1,0
2006-10-03 03:00:00,7,1,0
2006-10-03 03:15:00,7,1,0
2006-10-03 03:30:00,7,1,0
2006-10-03 03:45:00,15,1,0
2006-10-03 04:00:00,6,1,0
2006-10-03 04:15:00,9,1,0
2006-10-03 04:30:00,3,1,0
2006-10-03 04:45:00,5,1,0
2006-10-03 05:00:00,16,1,0
2006-10-03 05:15:00,13,1,0
2006-10-03 05:30:00,13,1,0
2006-10-03 05:45:00,28,1,0
2006-10-03 06:00:00,22,1,0
2006-10-03 06:15:00,20,1,0
2006-10-03 06:30:00,36,1,0
2006-10-03 06:45:00,30,1,0
2006-10-03 07:00:00,59,1,0
2006-10-03 07:15:00,52,1,0
2006-10-03 07:30:00,60,1,0
2006-10-03 07:45:00,84,1,0
2006-10-03 08:00:00,73,1,0
2006-10-03 08:15:00,106,1,0
2006-10-03 08:30:00,89,1,0
2006-10-03 08:45:00,95,1,0
2006-10-03 09:00:00,90,1,0
2006-10-03 09:15:00,103,1,0
2006-10-03 09:30:00,85,1,0
2006-10-03 09:45:00,117,1,0
2006-10-03 10:00:00,73,1,0
2006-10-03 10:15:00,66,1,0
2006-10-03 10:30:00,107,1,0
2006-10-03 10:45:00,69,1,0
2006-10-03 11:00:00,70,1,0
2006-10-03 11:15:00,89,1,0
2006-10-03 11:30:00,102,1,0
2006-10-03 11:45:00,71,1,0
2006-10-03 12:00:00,85,1,0
2006-10-03 12:15:00,69,1,0
2006-10-03 12:30:00,72,1,0
2006-10-03 12:45:00,94,1,0
2006-10-03 13:00:00,116,1,0
2006-10-03 13:15:00,103,1,0
2006-10-03 13:30:00,115,1,0
2006-10-03 13:45:00,72,1,0
2006-10-03 14:00:00,91,1,0
2006-10-03 14:15:00,83,1,0
