datetime,volume,day_of_week,is_weekend
2006-10-01 00:15:00,165,6,1
2006-10-01 00:30:00,154,6,1
2006-10-01 00:45:00,128,6,1
2006-10-01 01:00:00,101,6,1
2006-10-01 01:15:00,88,6,1
2006-10-01 01:30:00,72,6,1
2006-10-01 01:45:00,76,6,1
2006-10-01 02:00:00,61,6,1
2006-10-01 02:15:00,63,6,1
2006-10-01 02:30:00,56,6,1
2006-10-01 02:45:00,55,6,1
2006-10-01 03:00:00,42,6,1
2006-10-01 03:15:00,67,6,1
2006-10-01 03:30:00,45,6,1
2006-10-01 03:45:00,24,6,1
2006-10-01 04:00:00,39,6,1
2006-10-01 04:15:00,36,6,1
2006-10-01 04:30:00,25,6,1
2006-10-01 04:45:00,32,6,1
2006-10-01 05:00:00,26,6,1
2006-10-01 05:15:00,24,6,1
2006-10-01 05:30:00,35,6,1
2006-10-01 05:45:00,21,6,1
2006-10-01 06:00:00,45,6,1
2006-10-01 06:15:00,40,6,1
2006-10-01 06:30:00,60,6,1
2006-10-01 06:45:00,73,6,1
2006-10-01 07:00:00,72,6,1
2006-10-01 07:15:00,67,6,1
2006-10-01 07:30:00,73,6,1
2006-10-01 07:45:00,98,6,1
2006-10-01 08:00:00,112,6,1
2006-10-01 08:15:00,78,6,1
2006-10-01 08:30:00,97,6,1
2006-10-01 08:45:00,138,6,1
2006-10-01 09:00:00,162,6,1
2006-10-01 09:15:00,167,6,1
2006-10-01 09:30:00,166,6,1
2006-10-01 09:45:00,223,6,1
2006-10-01 10:00:00,220,6,1
2006-10-01 10:15:00,219,6,1
2006-10-01 10:30:00,289,6,1
2006-10-01 10:45:00,281,6,1
2006-10-01 11:00:00,276,6,1
2006-10-01 11:15:00,284,6,1
2006-10-01 11:30:00,297,6,1
2006-10-01 11:45:00,311,6,1
2006-10-01 12:00:00,413,6,1
2006-10-01 12:15:00,380,6,1
2006-10-01 12:30:00,398,6,1
2006-10-01 12:45:00,332,6,1
2006-10-01 13:00:00,399,6,1
2006-10-01 13:15:00,356,6,1
2006-10-01 13:30:00,337,6,1
2006-10-01 13:45:00,402,6,1
2006-10-01 14:00:00,358,6,1
2006-10-01 14:15:00,425,6,1
2006-10-01 14:30:00,395,6,1
2006-10-01 14:45:00,388,6,1
2006-10-01 15:00:00,449,6,1
2006-10-01 15:15:00,381,6,1
2006-10-01 15:30:00,391,6,1
2006-10-01 15:45:00,358,6,1
2006-10-01 16:00:00,392,6,1
2006-10-01 16:15:00,401,6,1
2006-10-01 16:30:00,409,6,1
2006-10-01 16:45:00,438,6,1
2006-10-01 17:00:00,470,6,1
2006-10-01 17:15:00,416,6,1
2006-10-01 17:30:00,443,6,1
2006-10-01 17:45:00,452,6,1
2006-10-01 18:00:00,434,6,1
2006-10-01 18:15:00,366,6,1
2006-10-01 18:30:00,309,6,1
2006-10-01 18:45:00,284,6,1
2006-10-01 19:00:00,233,6,1
2006-10-01 19:15:00,238,6,1
2006-10-01 19:30:00,225,6,1
2006-10-01 19:45:00,215,6,1
2006-10-01 20:00:00,194,6,1
2006-10-01 20:15:00,207,6,1
2006-10-01 20:30:00,150,6,1
2006-10-01 20:45:00,155,6,1
2006-10-01 21:00:00,182,6,1
2006-10-01 21:15:00,170,6,1
2006-10-01 21:30:00,195,6,1
2006-10-01 21:45:00,155,6,1
2006-10-01 22:00:00,148,6,1
2006-10-01 22:15:00,154,6,1
2006-10-01 22:30:00,140,6,1
2006-10-01 22:45:00,82,6,1
2006-10-01 23:00:00,92,6,1
2006-10-01 23:15:00,81,6,1
2006-10-01 23:30:00,75,6,1
2006-10-01 23:45:00,68,6,1
2006-10-02 00:00:00,50,0,0
2006-10-02 00:15:00,48,0,0
2006-10-02 00:30:00,33,0,0
2006-10-02 00:45:00,41,0,0
2006-10-02 01:00:00,30,0,0
2006-10-02 01:15:00,24,0,0
2006-10-02 01:30:00,15,0,0
2006-10-02 01:45:00,17,0,0
2006-10-02 02:00:00,16,0,0
2006-10-02 02:15:00,8,0,0
2006-10-02 02:30:00,16,0,0
2006-10-02 02:45:00,25,0,0
2006-10-02 03:00:00,10,0,0
